id	baseMean	baseMean_CK	baseMean_MZM	foldChange(MZM/CK)	log2FoldChange	pval	padj
LOC111352061	113.8300703	72.15855489	155.5015857	2.154998613	1.107686941	0.013703792	0.528277386
LOC111349398	5621.14375	3572.118916	7670.168584	2.147232151	1.102478179	0.005056119	0.338284275
LOC111355491	272.533976	173.2496328	371.8183191	2.146142032	1.101745557	0.005360334	0.343565949
LOC111349517	11250.85361	7165.383751	15336.32347	2.140335257	1.097836795	0.001567267	0.177318607
LOC111349396	3318.89232	2115.633812	4522.150828	2.137492227	1.095919173	0.004972595	0.336857071
LOC111351790	771.1879448	493.0098391	1049.36605	2.128489063	1.089829677	1.28e-05	0.014881113
LOC111358962	1903.769833	1217.499083	2590.040583	2.127344997	1.089054018	6.46e-05	0.027329267
LOC111355891	2099.673549	1342.935415	2856.411684	2.126991107	1.088814001	0.047947802	0.904460337
LOC111360790	931.3729118	595.830063	1266.915761	2.126303856	1.088347778	0.00087269	0.124269307
LOC111355095	1339.779453	858.8182204	1820.740685	2.120053629	1.08410076	0.005144795	0.338658549
LOC111360928	154.898885	99.31459669	210.4831734	2.119357883	1.083627227	5.38e-05	0.025549023
LOC111357527	429.8705796	275.7293133	584.011846	2.118062237	1.082744982	0.013611614	0.526177505
LOC111362324	872.2964037	560.5818256	1184.010982	2.112110896	1.078685585	0.034680013	0.795986149
LOC111359527	23.03104019	14.82806931	31.23401108	2.106411188	1.074787089	0.033237937	0.794238715
LOC111353089	15952.84163	10298.25516	21607.42811	2.098163987	1.06912744	0.000310393	0.064649682
LOC111350551	1503.989505	971.6911306	2036.287879	2.095612293	1.06737183	0.018281239	0.601592876
LOC111359173	6582.198543	4261.405718	8902.991368	2.089214676	1.062960744	0.003192739	0.268002786
LOC111359063	3517.256846	2277.486886	4757.026806	2.088717541	1.062617408	0.028668859	0.749429428
LOC111358481	895.4506493	580.857137	1210.044162	2.083204431	1.058804422	0.016510627	0.574578042
LOC111349197	3472.337358	2257.268871	4687.405845	2.076582858	1.054211438	0.008433486	0.421825428
LOC111364230	314.8565026	204.8423087	424.8706965	2.074135461	1.052510119	0.01009786	0.451425374
LOC111352868	657.0712892	427.5216205	886.6209579	2.073862269	1.052320084	0.006946214	0.392447026
LOC111360944	15881.35903	10348.15295	21414.56511	2.069409412	1.049219096	0.000377701	0.075297308
LOC111359390	21.55456204	14.05775066	29.05137342	2.066573389	1.047240598	0.04000759	0.860255644
LOC111349612	7834.866978	5122.564949	10547.16901	2.058962475	1.041917537	0.002806867	0.251088679
LOC111358963	1278.104041	836.2430457	1719.965037	2.056776491	1.040385025	0.002782255	0.250492662
LOC111349400	3266.122173	2139.723917	4392.520428	2.052844478	1.037624334	0.003704099	0.290397236
LOC111355196	27321.47063	17901.65514	36741.28612	2.052396041	1.037309148	0.003590667	0.284731833
LOC111356099	315.904413	207.0203062	424.7885198	2.051917165	1.036972491	3.85e-05	0.023167175
LOC111353582	16965.68353	11121.04509	22810.32197	2.051095178	1.03639444	0.001638396	0.18003
LOC111358205	53.69711837	35.20568305	72.18855368	2.050480134	1.035961766	0.006975884	0.392534142
